ID_CLIENT,TARGET_LABEL_BAD=1
1365,0.0
898,0.0
48635,1.0
222,0.0
4402,0.0
40951,0.0
47591,0.0
12286,0.0
46203,0.0
37690,1.0
40012,0.0
9661,1.0
35631,0.0
23695,0.0
15081,0.0
25040,1.0
27833,0.0
22336,0.0
14655,0.0
31300,0.0
21869,0.0
24218,0.0
13252,0.0
12361,1.0
44609,0.0
31318,0.0
18657,0.0
37093,1.0
23778,0.0
46573,0.0
28618,0.0
7883,0.0
13979,0.0
35177,0.0
25722,0.0
7054,0.0
41751,0.0
36619,1.0
13707,0.0
30812,0.0
36411,1.0
6907,0.0
11833,1.0
994,0.0
6449,1.0
30443,0.0
9967,0.0
21976,0.0
20304,0.0
31894,0.0
12016,0.0
25701,0.0
39011,1.0
47461,0.0
46487,0.0
12412,0.0
14341,0.0
513,0.0
20787,0.0
22804,0.0
12962,0.0
18485,0.0
14485,1.0
25564,0.0
37145,0.0
37025,0.0
8872,1.0
48339,1.0
23641,0.0
38043,0.0
11885,0.0
47251,0.0
46766,0.0
9439,1.0
744,1.0
43513,1.0
38720,0.0
11307,0.0
32342,0.0
33135,0.0
38742,1.0
14604,0.0
37201,0.0
10509,0.0
49299,0.0
39778,0.0
21194,0.0
10215,0.0
37661,0.0
16054,1.0
40077,0.0
6115,0.0
11046,0.0
43220,0.0
27438,0.0
37559,0.0
6164,0.0
314,0.0
11795,1.0
31117,0.0
34899,0.0
46109,0.0
12860,0.0
12824,0.0
5957,1.0
29643,0.0
18875,1.0
25795,1.0
13458,1.0
9181,0.0
34654,0.0
17755,1.0
46260,0.0
31338,1.0
18747,0.0
23088,1.0
3757,1.0
22117,0.0
6953,0.0
25980,0.0
44734,0.0
26726,0.0
3289,0.0
6649,0.0
11903,0.0
14527,1.0
8433,0.0
32304,0.0
11375,0.0
33494,0.0
32262,0.0
14414,1.0
18444,0.0
19607,1.0
37229,0.0
19725,1.0
4534,0.0
24758,1.0
8656,1.0
27800,1.0
24630,1.0
17558,0.0
41949,0.0
34443,1.0
38532,0.0
17838,0.0
37017,0.0
39272,0.0
2070,0.0
4556,0.0
34690,0.0
17894,0.0
5926,0.0
25420,0.0
25151,0.0
41833,0.0
22681,1.0
36573,0.0
4604,0.0
10982,0.0
27541,0.0
30960,0.0
37840,0.0
36134,1.0
24129,0.0
45666,0.0
33962,0.0
11298,0.0
41690,0.0
20077,0.0
30355,1.0
29656,0.0
16488,0.0
941,1.0
12807,0.0
45004,1.0
44063,1.0
18525,1.0
12873,0.0
43427,0.0
1288,1.0
20553,0.0
11680,0.0
31882,1.0
6732,0.0
33014,1.0
37439,0.0
6730,1.0
7448,0.0
29266,1.0
16741,0.0
7000,1.0
42451,1.0
42835,0.0
23733,1.0
45019,0.0
26669,0.0
39828,0.0
47428,0.0
18853,1.0
12581,0.0
15090,0.0
43577,1.0
43941,0.0
3284,0.0
46171,0.0
17825,1.0
41770,1.0
9991,0.0
42412,0.0
42109,0.0
36515,0.0
33524,0.0
9145,0.0
5728,0.0
12444,0.0
17720,0.0
49484,0.0
23857,0.0
37239,0.0
5091,0.0
12645,0.0
2978,0.0
32211,0.0
14795,0.0
34046,0.0
25057,0.0
41315,0.0
43159,0.0
18495,1.0
40842,0.0
43354,0.0
40864,0.0
8172,0.0
18428,0.0
4533,0.0
22019,1.0
7197,0.0
16763,0.0
41163,1.0
44669,0.0
44635,0.0
22830,0.0
46650,0.0
14279,0.0
26762,0.0
47726,0.0
45430,1.0
41909,0.0
11881,0.0
40509,0.0
2398,0.0
24023,0.0
24986,0.0
8675,0.0
2616,1.0
15921,0.0
35949,1.0
24422,1.0
11967,1.0
12751,0.0
35898,0.0
3801,0.0
33151,0.0
45337,0.0
43990,1.0
39279,0.0
23072,0.0
38239,0.0
9365,0.0
26267,0.0
20588,0.0
15135,0.0
46539,0.0
30964,0.0
17824,0.0
27693,1.0
7775,1.0
19678,0.0
36978,0.0
38791,0.0
4538,1.0
28357,0.0
24269,0.0
14741,0.0
42333,0.0
19037,0.0
49842,0.0
21051,0.0
33707,0.0
41864,0.0
42110,0.0
4748,0.0
34350,0.0
19856,0.0
1215,0.0
37882,0.0
3132,0.0
15076,1.0
45915,0.0
